I want to book a session for my pet,booking
Do you have slots?,booking
Can I reschedule?,booking
I want to cancel my booking,booking
I want to postpone my reservation,booking
I want to make appointment,booking
I want to book a slot,booking
I would like to reserve a slot,booking
I want to make reservation for my pet,booking
I want to make new reservation,booking
I want to change date,booking
I want to change time,booking
I want to book a service,booking
byebye,goodbye
see you around,goodbye
bye,goodbye
let's catchup again,goodbye
see you,goodbye
Have a great day,goodbye
goodbye,goodbye
ok bye,goodbye
ciao,goodbye
ttyl,goodbye
good morning,greeting
hello,greeting
hey,greeting
hi,greeting
there?,greeting
how are you,greeting
yo,greeting
good day,greeting
good evening,greeting
good afternoon,greeting
Which day you close?,hours_info
When do you open,hours_info
Are you open on Saturdays?,hours_info
What time are you open until?,hours_info
What are your hours of operation?,hours_info
What are your hours?,hours_info
Are you open on Sundays?,hours_info
what are the hours of operation at your shop,hours_info
Which days you open?,hours_info
What are on-site hours?,hours_info
Are you available on weekend?,hours_info
When do you close,hours_info
When are you open,hours_info
How can we find you?,location_info
Do you have on site service?,location_info
Will you provide service at home?,location_info
Where are you physically located?,location_info
Where is your location?,location_info
What's the address of your shop?,location_info
Where is your store?,location_info
Where is your shop?,location_info
Where are you?,location_info
Do you have a shop?,location_info
What's your address?,location_info
location please?,location_info
pet service charges,price_info
how much,price_info
what is the price,price_info
what is the charges,price_info
price,price_info
how expensive,price_info
training price,price_info
Service price,price_info
boarding price,price_info
grooming price,price_info
grooming,services
training,services
boarding,services
Do you have pet service?,services
services?,services
What do you provide?,services
what are the pet service,services
What service do you have?,services
What do you have?,services
What are the services you provided?,services
great. tq,thankyou
many thanks,thankyou
hey thanks,thankyou
thank you,thankyou
ty,thankyou
xie xie,thankyou
thanks!,thankyou
tq,thankyou
thx,thankyou
ok thanks,thankyou
thanks ya,thankyou
